# Histogram: 3313
# Gate on Y from 41 to 41
# File: /SCRATCH/DScratch3/jeremy/utkscan_output/micronet4/individ_runs/097/0975300_23Jan2018_2105.24/0975300.his
#X  N  dN
0.5 9 3
1.5 0 1
2.5 3 1.73205
3.5 3 1.73205
4.5 1 1
5.5 1 1
6.5 2 1.41421
7.5 2 1.41421
8.5 2 1.41421
9.5 1 1
10.5 1 1
11.5 4 2
12.5 2 1.41421
13.5 2 1.41421
14.5 8 2.82843
15.5 2 1.41421
16.5 2 1.41421
17.5 1 1
18.5 3 1.73205
19.5 2 1.41421
20.5 0 1
21.5 1 1
22.5 1 1
23.5 2 1.41421
24.5 2 1.41421
25.5 0 1
26.5 2 1.41421
27.5 1 1
28.5 2 1.41421
29.5 3 1.73205
30.5 5 2.23607
31.5 1 1
32.5 2 1.41421
33.5 3 1.73205
34.5 7 2.64575
35.5 2 1.41421
36.5 2 1.41421
37.5 3 1.73205
38.5 0 1
39.5 1 1
40.5 1 1
41.5 1 1
42.5 1 1
43.5 3 1.73205
44.5 1 1
45.5 4 2
46.5 1 1
47.5 1 1
48.5 0 1
49.5 3 1.73205
50.5 2 1.41421
51.5 4 2
52.5 1 1
53.5 3 1.73205
54.5 6 2.44949
55.5 3 1.73205
56.5 0 1
57.5 4 2
58.5 8 2.82843
59.5 4 2
60.5 5 2.23607
61.5 1 1
62.5 0 1
63.5 1 1
64.5 3 1.73205
65.5 4 2
66.5 1 1
67.5 3 1.73205
68.5 0 1
69.5 2 1.41421
70.5 1 1
71.5 1 1
72.5 3 1.73205
73.5 1 1
74.5 1 1
75.5 0 1
76.5 2 1.41421
77.5 0 1
78.5 4 2
79.5 4 2
80.5 3 1.73205
81.5 7 2.64575
82.5 2 1.41421
83.5 2 1.41421
84.5 3 1.73205
85.5 2 1.41421
86.5 2 1.41421
87.5 2 1.41421
88.5 0 1
89.5 2 1.41421
90.5 2 1.41421
91.5 3 1.73205
92.5 3 1.73205
93.5 4 2
94.5 5 2.23607
95.5 2 1.41421
96.5 0 1
97.5 3 1.73205
98.5 1 1
99.5 1 1
100.5 2 1.41421
101.5 3 1.73205
102.5 3 1.73205
103.5 3 1.73205
104.5 1 1
105.5 3 1.73205
106.5 0 1
107.5 4 2
108.5 2 1.41421
109.5 1 1
110.5 2 1.41421
111.5 2 1.41421
112.5 4 2
113.5 4 2
114.5 2 1.41421
115.5 2 1.41421
116.5 0 1
117.5 0 1
118.5 1 1
119.5 3 1.73205
120.5 1 1
121.5 0 1
122.5 4 2
123.5 5 2.23607
124.5 2 1.41421
125.5 3 1.73205
126.5 3 1.73205
127.5 2 1.41421
128.5 1 1
129.5 1 1
130.5 9 3
131.5 2 1.41421
132.5 3 1.73205
133.5 0 1
134.5 1 1
135.5 4 2
136.5 0 1
137.5 2 1.41421
138.5 2 1.41421
139.5 3 1.73205
140.5 2 1.41421
141.5 2 1.41421
142.5 3 1.73205
143.5 6 2.44949
144.5 5 2.23607
145.5 4 2
146.5 1 1
147.5 1 1
148.5 4 2
149.5 1 1
150.5 2 1.41421
151.5 1 1
152.5 2 1.41421
153.5 3 1.73205
154.5 4 2
155.5 4 2
156.5 2 1.41421
157.5 1 1
158.5 0 1
159.5 3 1.73205
160.5 1 1
161.5 1 1
162.5 2 1.41421
163.5 1 1
164.5 4 2
165.5 1 1
166.5 5 2.23607
167.5 2 1.41421
168.5 2 1.41421
169.5 1 1
170.5 1 1
171.5 1 1
172.5 2 1.41421
173.5 2 1.41421
174.5 0 1
175.5 1 1
176.5 2 1.41421
177.5 3 1.73205
178.5 4 2
179.5 4 2
180.5 0 1
181.5 1 1
182.5 3 1.73205
183.5 3 1.73205
184.5 3 1.73205
185.5 5 2.23607
186.5 5 2.23607
187.5 2 1.41421
188.5 6 2.44949
189.5 2 1.41421
190.5 3 1.73205
